feature,importance
US_Stock_MPC_adj_low_log_return,0.00753891
US_Stock_NUGT_adj_close_log_return,0.0055745905
US_Stock_VWO_adj_low_log_return,0.0051640933
US_Stock_EWJ_adj_close_log_return,0.005074898
US_Stock_SPYV_adj_close_log_return,0.004545288
US_Stock_GDX_adj_close_log_return,0.0043414105
US_Stock_MPC_adj_high_log_return,0.004272339
US_Stock_TRGP_adj_high_log_return,0.004152601
US_Stock_IGSB_adj_open_log_return,0.0039681196
US_Stock_EWZ_adj_low_log_return,0.0039382703
US_Stock_HES_adj_low_log_return,0.0035738465
US_Stock_BNDX_adj_high_log_return,0.003428333
US_Stock_ACWI_adj_close_log_return,0.0034154817
US_Stock_EWT_adj_close_log_return,0.0033780062
US_Stock_JNK_adj_low_log_return,0.0033527724
US_Stock_IEF_adj_close_log_return,0.0032624092
US_Stock_EEM_adj_open_log_return,0.0031579353
FX_AUDUSD_log_return,0.003117226
US_Stock_TIP_adj_high_log_return,0.0030681703
US_Stock_VCIT_adj_low_log_return,0.0030387524
US_Stock_OKE_adj_low_log_return,0.0030030455
US_Stock_VALE_adj_high_log_return,0.0029816164
US_Stock_VYM_adj_close_log_return,0.0029702536
US_Stock_BCS_adj_low_log_return,0.002949641
US_Stock_XOM_adj_low_log_return,0.0029401747
US_Stock_IGSB_adj_high_log_return,0.0029311944
US_Stock_GDXJ_adj_open_log_return,0.0029165014
US_Stock_TIP_adj_low_log_return,0.00286917
US_Stock_VGK_adj_close_log_return,0.0028680665
US_Stock_DVN_adj_high_log_return,0.0028445465
US_Stock_EWZ_adj_close_log_return,0.0028270415
US_Stock_BSV_adj_low_log_return,0.0028031936
US_Stock_SLB_adj_close_log_return,0.0028003932
US_Stock_CVE_adj_close_log_return,0.0027901332
US_Stock_EOG_adj_low_log_return,0.002787734
US_Stock_IEF_adj_low_log_return,0.0027875712
US_Stock_IGSB_adj_low_log_return,0.0027364867
US_Stock_AEM_adj_close_log_return,0.0027310518
US_Stock_TRGP_adj_low_log_return,0.0027275793
US_Stock_YINN_adj_close_log_return,0.002726126
US_Stock_VGSH_adj_low_log_return,0.0027170356
US_Stock_BCS_adj_open_log_return,0.002716316
US_Stock_BP_adj_low_log_return,0.0026977148
US_Stock_IAU_adj_close_log_return,0.0026820807
US_Stock_VCSH_adj_close_log_return,0.0026820498
US_Stock_OKE_adj_volume_log_return,0.0026790737
US_Stock_VGSH_adj_close_log_return,0.0026589725
US_Stock_VALE_adj_open_log_return,0.0026545327
US_Stock_BND_adj_low_log_return,0.0026480078
US_Stock_LYB_adj_volume_log_return,0.0026334694
US_Stock_SHEL_adj_close_log_return,0.0026318848
US_Stock_GDX_adj_open_log_return,0.0026301143
US_Stock_VGIT_adj_open_log_return,0.0026140432
US_Stock_AGG_adj_volume_log_return,0.002607179
US_Stock_YINN_adj_open_log_return,0.0026006307
US_Stock_WMB_adj_high_log_return,0.0025835903
US_Stock_AGG_adj_low_log_return,0.0025705616
US_Stock_IAU_adj_low_log_return,0.0025676652
US_Stock_FNV_adj_open_log_return,0.0025624707
US_Stock_SPYV_adj_low_log_return,0.002548326
US_Stock_KGC_adj_low_log_return,0.0025473163
US_Stock_TIP_adj_open_log_return,0.0025463398
US_Stock_STLD_adj_close_log_return,0.0025328759
US_Stock_GDXJ_adj_low_log_return,0.0025324072
US_Stock_WMB_adj_close_log_return,0.002525169
US_Stock_CAT_adj_close_log_return,0.0025118557
US_Stock_ENB_adj_close_log_return,0.0025080994
US_Stock_TIP_adj_close_log_return,0.0025053886
US_Stock_SHY_adj_close_log_return,0.0024791947
US_Stock_FNV_adj_close_log_return,0.002475296
US_Stock_BSV_adj_close_log_return,0.0024601936
US_Stock_IGSB_adj_volume_log_return,0.0024437148
US_Stock_EMB_adj_low_log_return,0.002442661
US_Stock_VGK_adj_high_log_return,0.0024146796
US_Stock_AG_adj_close_log_return,0.0024123134
US_Stock_AEM_adj_low_log_return,0.00240493
US_Stock_FNV_adj_low_log_return,0.0024044388
US_Stock_VGLT_adj_close_log_return,0.0024001747
US_Stock_BKR_adj_low_log_return,0.0023908745
US_Stock_JNK_adj_open_log_return,0.0023740388
US_Stock_JNK_adj_close_log_return,0.002371609
US_Stock_BP_adj_close_log_return,0.0023680374
JPX_Platinum_Standard_Futures_High_log_return,0.0023603626
US_Stock_MBB_adj_high_log_return,0.0023591234
US_Stock_SPYV_adj_volume_log_return,0.0023586075
US_Stock_CCJ_adj_close_log_return,0.0023439324
US_Stock_RIO_adj_high_log_return,0.002334593
US_Stock_BND_adj_close_log_return,0.0023299824
US_Stock_GDX_adj_high_log_return,0.0023273893
US_Stock_VCIT_adj_close_log_return,0.0023153587
US_Stock_VCSH_adj_low_log_return,0.002306934
US_Stock_XOM_adj_high_log_return,0.002301061
JPX_Gold_Standard_Futures_Close_log_return,0.0022973572
FX_EURNZD_log_return,0.0022893264
US_Stock_HL_adj_close_log_return,0.0022836155
US_Stock_BP_adj_high_log_return,0.0022830605
US_Stock_SLV_adj_close_log_return,0.002277252
US_Stock_SHEL_adj_open_log_return,0.0022767219
US_Stock_VWO_adj_high_log_return,0.0022745966
US_Stock_TRGP_adj_volume_log_return,0.0022731218
FX_NZDCHF_log_return,0.0022709356
US_Stock_NEM_adj_low_log_return,0.0022645977
US_Stock_RY_adj_high_log_return,0.0022626305
