target,feature,importance
target_0,US_Stock_MPC_adj_low_log_return,0.030044759
target_0,US_Stock_HES_adj_low_log_return,0.019643389
target_0,US_Stock_TIP_adj_high_log_return,0.016253106
target_0,US_Stock_EWZ_adj_low_log_return,0.015493242
target_0,US_Stock_EEM_adj_open_log_return,0.013807199
target_0,US_Stock_TRGP_adj_high_log_return,0.012524941
target_0,US_Stock_IGSB_adj_open_log_return,0.010047372
target_0,US_Stock_RSP_adj_close_log_return,0.009939476
target_0,US_Stock_IGSB_adj_high_log_return,0.009460594
target_0,US_Stock_VGSH_adj_close_log_return,0.009040649
target_0,US_Stock_HAL_adj_open_log_return,0.008978348
target_0,US_Stock_BKR_adj_low_log_return,0.00834788
target_0,US_Stock_WMB_adj_high_log_return,0.007853947
target_0,US_Stock_SPYV_adj_low_log_return,0.0078045293
target_0,US_Stock_VT_adj_open_log_return,0.0072361715
target_0,US_Stock_VALE_adj_open_log_return,0.007058334
target_0,US_Stock_BP_adj_high_log_return,0.007004986
target_0,US_Stock_SPYV_adj_close_log_return,0.0066638407
target_0,US_Stock_OXY_adj_close_log_return,0.006642568
target_0,US_Stock_AEM_adj_close_log_return,0.006490829
target_0,US_Stock_VWO_adj_low_log_return,0.0063869916
target_0,US_Stock_VCSH_adj_low_log_return,0.0063514495
target_0,US_Stock_RIO_adj_high_log_return,0.0060089137
target_0,US_Stock_JNK_adj_low_log_return,0.0058943178
target_0,US_Stock_RY_adj_high_log_return,0.0058026323
target_0,US_Stock_TECK_adj_close_log_return,0.0053890655
target_0,US_Stock_RY_adj_open_log_return,0.005379162
target_0,US_Stock_EEM_adj_volume_log_return,0.005268293
target_0,US_Stock_EWT_adj_low_log_return,0.005262944
target_0,US_Stock_HES_adj_close_log_return,0.0052148313
target_0,US_Stock_FNV_adj_close_log_return,0.004891503
target_0,US_Stock_VTV_adj_close_log_return,0.004888647
target_0,US_Stock_EWZ_adj_close_log_return,0.0048451764
target_0,US_Stock_MPC_adj_open_log_return,0.0048437677
target_0,US_Stock_OKE_adj_open_log_return,0.0048277085
target_0,US_Stock_VTV_adj_open_log_return,0.0048012496
